,accuracy,precision,recall,f1,loss,lr,iter,source
0,0.09948569536209106,0.09646858274936676,0.09948569536209106,0.0700594112277031,2.305860757827759,1e-05,0,train
1,0.10000000149011612,0.009999999776482582,0.10000000149011612,0.01818181946873665,2.3027350902557373,1e-05,0,test
2,0.10000000149011612,0.009999999776482582,0.10000000149011612,0.01818181946873665,2.3224170207977295,0.00018800000000000015,30,test
3,0.10000000149011612,0.009999999776482582,0.10000000149011612,0.01818181946873665,2.332857131958008,0.00036599999999999995,60,test
4,0.10000000149011612,0.009999999776482582,0.10000000149011612,0.01818181946873665,2.3514180183410645,0.0005440000000000001,90,test
5,0.10000000149011612,0.009999999776482582,0.10000000149011612,0.01818181946873665,2.371067762374878,0.0007219999999999999,120,test
6,0.10000000149011612,0.009999999776482582,0.10000000149011612,0.01818181946873665,2.3788106441497803,0.0009,150,test
7,0.10000000149011612,0.009999999776482582,0.10000000149011612,0.01818181946873665,2.434232234954834,0.0007219999999999999,180,test
8,0.10000000149011612,0.009999999776482582,0.10000000149011612,0.01818181946873665,2.459120035171509,0.0005440000000000001,210,test
9,0.10000000149011612,0.009999999776482582,0.10000000149011612,0.01818181946873665,2.495121955871582,0.00036599999999999995,240,test
10,0.10000000149011612,0.009999999776482582,0.10000000149011612,0.01818181946873665,2.536062002182007,0.00018800000000000015,270,test
11,0.10000000149011612,0.009999999776482582,0.10000000149011612,0.01818181946873665,2.5333356857299805,1e-05,300,test
12,0.10000000149011612,0.009999999776482582,0.10000000149011612,0.01818181946873665,2.5455331802368164,9.900000000000008e-05,330,test
13,0.10000000149011612,0.009999999776482582,0.10000000149011612,0.01818181946873665,2.5403151512145996,0.00018800000000000015,360,test
14,0.10830000042915344,0.07600061595439911,0.10830000042915344,0.03313494473695755,2.479029893875122,0.00027699999999999985,390,test
15,0.2012999951839447,0.11912523955106735,0.2012999951839447,0.12684227526187897,2.460096836090088,0.00036599999999999995,420,test
16,0.23719999194145203,0.10113673657178879,0.23719999194145203,0.1372421383857727,2.1191842555999756,0.000455,450,test
17,0.2809000015258789,0.17927907407283783,0.2809000015258789,0.17759545147418976,1.907042145729065,0.00036599999999999995,480,test
18,0.4844000041484833,0.6419898271560669,0.4844000041484833,0.4543597102165222,1.4570558071136475,0.00027699999999999985,510,test
19,0.6215000152587891,0.7039787769317627,0.6215000152587891,0.6151398420333862,1.170709490776062,0.00018800000000000015,540,test
20,0.7426999807357788,0.7780718803405762,0.7426999807357788,0.7439587116241455,0.8989027142524719,9.900000000000008e-05,570,test
21,0.80840003490448,0.8229962587356567,0.80840003490448,0.8082910180091858,0.6521599888801575,1e-05,600,test
22,0.8348000049591064,0.8463675379753113,0.8348000049591064,0.8375154733657837,0.5274010300636292,5.450000000000004e-05,630,test
23,0.8423999547958374,0.8509985208511353,0.8423999547958374,0.842302143573761,0.46396249532699585,9.900000000000008e-05,660,test
24,0.8671000003814697,0.8711879253387451,0.8671000003814697,0.8682781457901001,0.3800951838493347,0.0001434999999999999,690,test
25,0.8611000180244446,0.8623677492141724,0.8611000180244446,0.8591912984848022,0.37505725026130676,0.00018799999999999996,720,test
26,0.8522999882698059,0.8559039831161499,0.8522999882698059,0.8514150381088257,0.3875162899494171,0.00023249999999999999,750,test
27,0.8677999973297119,0.8691086769104004,0.8677999973297119,0.8665069341659546,0.3488931655883789,0.00018799999999999996,780,test
28,0.8809000253677368,0.8816872239112854,0.8809000253677368,0.880957841873169,0.32236722111701965,0.0001434999999999999,810,test
29,0.8805999755859375,0.8815006017684937,0.8805999755859375,0.880815863609314,0.3205767273902893,9.900000000000008e-05,840,test
30,0.8819999694824219,0.8841066956520081,0.8819999694824219,0.8825536966323853,0.31726810336112976,5.450000000000004e-05,870,test
31,0.8866000175476074,0.8873268365859985,0.8866000175476074,0.8868190050125122,0.3055189847946167,1e-05,900,test
32,0.8859999179840088,0.8849466443061829,0.8859999179840088,0.8849295377731323,0.3031107783317566,3.224999999999992e-05,930,test
33,0.8826000094413757,0.8827213048934937,0.8826000094413757,0.8825662732124329,0.31523504853248596,5.450000000000004e-05,960,test
34,0.8817000389099121,0.8816442489624023,0.8817000389099121,0.8813625574111938,0.31873711943626404,7.674999999999995e-05,990,test
35,0.8830000162124634,0.8871995210647583,0.8830000162124634,0.8839447498321533,0.3109912872314453,9.900000000000008e-05,1020,test
36,0.8779000043869019,0.8783694505691528,0.8779000043869019,0.877485990524292,0.33352816104888916,0.00012124999999999999,1050,test
37,0.8826999664306641,0.8834171295166016,0.8826999664306641,0.8828478455543518,0.3130030930042267,9.900000000000008e-05,1080,test
38,0.8847999572753906,0.8854027986526489,0.8847999572753906,0.8829903602600098,0.3051493465900421,7.674999999999995e-05,1110,test
39,0.890999972820282,0.8922598361968994,0.890999972820282,0.8914458751678467,0.29739657044410706,5.450000000000004e-05,1140,test
40,0.8889000415802002,0.8905320763587952,0.8889000415802002,0.8893955945968628,0.2969876825809479,3.224999999999992e-05,1170,test
41,0.891700029373169,0.8922551870346069,0.891700029373169,0.8918132781982422,0.29332152009010315,1e-05,1200,test
42,0.8905999660491943,0.8928317427635193,0.8905999660491943,0.8911932706832886,0.29571253061294556,2.112499999999996e-05,1230,test
43,0.8904999494552612,0.8907408714294434,0.8904999494552612,0.8904526829719543,0.29133424162864685,3.225000000000002e-05,1260,test
44,0.8921000361442566,0.8918779492378235,0.8921000361442566,0.8917139172554016,0.2978324294090271,4.337499999999998e-05,1290,test
45,0.8808000087738037,0.8799313306808472,0.8808000087738037,0.8792361617088318,0.31514862179756165,5.450000000000004e-05,1320,test
46,0.8852999806404114,0.8847261667251587,0.8852999806404114,0.8836697936058044,0.29926273226737976,6.5625e-05,1350,test
47,0.8935999870300293,0.8941670060157776,0.8935999870300293,0.8935075998306274,0.29517826437950134,5.450000000000004e-05,1380,test
48,0.8902000188827515,0.8896715641021729,0.8902000188827515,0.8892947435379028,0.29372283816337585,4.337499999999998e-05,1410,test
49,0.8944000005722046,0.8943840265274048,0.8944000005722046,0.8940560817718506,0.28595036268234253,3.225000000000002e-05,1440,test
50,0.8924000263214111,0.8934140205383301,0.8924000263214111,0.8927000164985657,0.29035714268684387,2.112499999999996e-05,1470,test
51,0.9206819534301758,0.9194974899291992,0.9206819534301758,0.919768214225769,0.21877731382846832,1e-05,1500,train
52,0.895799994468689,0.8951194286346436,0.895799994468689,0.8952714204788208,0.2901735007762909,1e-05,1500,test
53,0.8940999507904053,0.8936191201210022,0.8940999507904053,0.8936862349510193,0.28963983058929443,1.5562499999999982e-05,1530,test
54,0.8928000330924988,0.892834484577179,0.8928000330924988,0.8927431106567383,0.2869882881641388,2.1125000000000012e-05,1560,test
55,0.8915999531745911,0.8922349214553833,0.8915999531745911,0.8918153047561646,0.28983959555625916,2.668749999999999e-05,1590,test
56,0.8966999650001526,0.8970990180969238,0.8966999650001526,0.896857500076294,0.284315288066864,3.225000000000002e-05,1620,test
57,0.8899999856948853,0.8900495767593384,0.8899999856948853,0.8895885944366455,0.2938663065433502,3.78125e-05,1650,test
58,0.8893999457359314,0.8899364471435547,0.8893999457359314,0.8895782828330994,0.29450422525405884,3.225000000000002e-05,1680,test
59,0.8941999673843384,0.8953432440757751,0.8941999673843384,0.8944353461265564,0.2818675637245178,2.668749999999999e-05,1710,test
60,0.8914000391960144,0.8921746015548706,0.8914000391960144,0.891545295715332,0.29016345739364624,2.1125000000000012e-05,1740,test
61,0.899399995803833,0.8986799120903015,0.899399995803833,0.8987827301025391,0.28442633152008057,1.5562499999999982e-05,1770,test
62,0.8946999907493591,0.8946331143379211,0.8946999907493591,0.8945514559745789,0.28630468249320984,1e-05,1800,test
63,0.8970000147819519,0.896339476108551,0.8970000147819519,0.8963437080383301,0.2903839349746704,1.278124999999999e-05,1830,test
64,0.8950999975204468,0.8947318196296692,0.8950999975204468,0.8947542309761047,0.29161491990089417,1.5562500000000006e-05,1860,test
65,0.8942999839782715,0.8941688537597656,0.8942999839782715,0.8940354585647583,0.29569223523139954,1.8343749999999995e-05,1890,test
66,0.8917999863624573,0.8926733732223511,0.8917999863624573,0.8921107053756714,0.2911423444747925,2.1125000000000012e-05,1920,test
67,0.8977000713348389,0.8984608054161072,0.8977000713348389,0.8979395627975464,0.28403592109680176,2.3906250000000002e-05,1950,test
68,0.895799994468689,0.8954499959945679,0.895799994468689,0.8952398300170898,0.28657498955726624,2.1125000000000012e-05,1980,test
69,0.8945000171661377,0.894478440284729,0.8945000171661377,0.8943496942520142,0.284122496843338,1.8343749999999995e-05,2010,test
70,0.8993000388145447,0.8994752168655396,0.8993000388145447,0.8992826342582703,0.2814449965953827,1.5562500000000006e-05,2040,test
71,0.8951999545097351,0.895394504070282,0.8951999545097351,0.8951200842857361,0.2803339958190918,1.278124999999999e-05,2070,test
72,0.8962999582290649,0.8963078856468201,0.8962999582290649,0.8961289525032043,0.2872893214225769,1e-05,2100,test
73,0.8982000350952148,0.8976439237594604,0.8982000350952148,0.8977632522583008,0.28237855434417725,1.1390624999999996e-05,2130,test
74,0.8920999765396118,0.8923821449279785,0.8920999765396118,0.892101526260376,0.29647332429885864,1.278124999999999e-05,2160,test
75,0.896600067615509,0.8964507579803467,0.896600067615509,0.8964159488677979,0.2796574532985687,1.417187500000001e-05,2190,test
76,0.8986000418663025,0.8983218669891357,0.8986000418663025,0.8983334302902222,0.2822548747062683,1.5562500000000006e-05,2220,test
